pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,12.0,1.0,0.9,all_attentive,uniform,strategic,0.0052,0.6,0.0704,755.4,12.1728,0.988,1.0,1.0,10.0,10.0,0.0,0.0,47422.02953668437,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,12.0,1.0,0.9,majority_lazy,uniform,strategic,0.8158,0.20733173076923078,0.4398,905.25,16.968,0.0016000000000000458,1.0,1.0,10.0,10.0,0.0,0.0,6125084.070168875,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,12.0,1.0,0.9,stake_proportional,uniform,strategic,0.9108,0.1018,0.2116,826.35,14.4432,0.0,1.0,1.0,10.0,10.0,0.0,0.0,6859725.519094566,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,all_attentive,uniform,strategic,0.0032,0.375,0.0386,751.35,24.0432,0.9952,1.0,1.0,10.0,10.0,0.0,0.0,24098.3638720679,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6714,0.3272035510462904,0.7462,982.2,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,5047848.490681772,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,stake_proportional,uniform,strategic,0.835,0.1842,0.4144,888.15,28.4208,0.0,1.0,1.0,10.0,10.0,0.0,0.0,6307063.120831397,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,48.0,1.0,0.9,all_attentive,uniform,strategic,0.002,0.0,0.0178,750.0,48.0,0.998,1.0,1.0,10.0,10.0,0.0,0.0,12893.691858072263,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,48.0,1.0,0.9,majority_lazy,uniform,strategic,0.4522,0.40352372833191247,0.866,963.0,54.816,0.2962,1.0,1.0,10.0,10.0,0.0,0.0,3495799.4810253694,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,48.0,1.0,0.9,stake_proportional,uniform,strategic,0.6868,0.3483483483483483,0.836,1011.0,56.352,0.0010000000000000009,1.0,1.0,10.0,10.0,0.0,0.0,5159637.522307433,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,72.0,1.0,0.9,all_attentive,uniform,strategic,0.002,0.0,0.018,750.0,72.0,0.998,1.0,1.0,10.0,10.0,0.0,0.0,12893.691858072263,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,72.0,1.0,0.9,majority_lazy,uniform,strategic,0.3414,0.41742617572001456,0.841,921.75,77.496,0.4514,1.0,1.0,10.0,10.0,0.0,0.0,2569654.6884300127,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,72.0,1.0,0.9,stake_proportional,uniform,strategic,0.5702,0.45394190871369294,1.1498,1078.2,82.5024,0.03600000000000003,1.0,1.0,10.0,10.0,0.0,0.0,4294053.997481483,5000
